,Dataset ID,latitude degrees_north,longitude degrees_east,sea_water_practical_salinity,sea_water_temperature,cdm_data_type,server
0,scalar_1201558,53.974785,-128.65718333333334,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1201585,54.53115,-130.53534333333334,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196053,53.974663333,-128.657038333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1195412,54.318707999999994,-130.320968,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1197449,54.318707999999994,-130.320968,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1201586,54.53115,-130.53534333333334,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1201270,48.68804960000001,-123.49990574,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189450,47.9486733333,-129.0990183333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1189450,47.9486733333,-129.0990183333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196743,47.94909061,-129.098225904,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1196743,47.94909061,-129.098225904,,,TimeSeries,http://dap.onc.uvic.ca/erddap
